onset	duration	sample	trial_type	response_time	stim_file	value
2487.8400000000	n/a	n/a	TESTING: Right Press, Correct	n/a	n/a	S  2
2488.8920000000	n/a	n/a	TESTING: C-F	n/a	n/a	S 24
2489.4120000000	n/a	n/a	TESTING: Left Press, Correct	n/a	n/a	S  1
2490.4640000000	n/a	n/a	TESTING: A-E	n/a	n/a	S 13
2490.9120000000	n/a	n/a	TESTING: Right Press, Incorrect	n/a	n/a	S  4
2491.9640000000	n/a	n/a	TESTING: F-A	n/a	n/a	S 41
2492.4760000000	n/a	n/a	TESTING: Left Press, Incorrect	n/a	n/a	S  3
2493.5280000000	n/a	n/a	TESTING: C-B	n/a	n/a	S 26
2493.9920000000	n/a	n/a	TESTING: Left Press, Correct	n/a	n/a	S  1
2495.0440000000	n/a	n/a	TESTING: F-D	n/a	n/a	S 45
2495.5400000000	n/a	n/a	TESTING: Left Press, Correct	n/a	n/a	S  1
2496.5920000000	n/a	n/a	TESTING: A-D	n/a	n/a	S 15
2497.4160000000	n/a	n/a	TESTING: Left Press, Correct	n/a	n/a	S  1
2498.4680000000	n/a	n/a	TESTING: B-C	n/a	n/a	S 62
2498.9400000000	n/a	n/a	TESTING: Right Press, Correct	n/a	n/a	S  2
2499.9920000000	n/a	n/a	TESTING: C-D	n/a	n/a	S 25
2500.3800000000	n/a	n/a	TESTING: Left Press, Correct	n/a	n/a	S  1
2501.4320000000	n/a	n/a	TESTING: C-A	n/a	n/a	S 21
2501.8360000000	n/a	n/a	TESTING: Left Press, Incorrect	n/a	n/a	S  3
2502.8880000000	n/a	n/a	TESTING: E-C	n/a	n/a	S 32
2503.2600000000	n/a	n/a	TESTING: Right Press, Correct	n/a	n/a	S  2
2504.3120000000	n/a	n/a	TESTING: D-E	n/a	n/a	S 53
2505.1880000000	n/a	n/a	TESTING: Right Press, Correct	n/a	n/a	S  2
2506.2400000000	n/a	n/a	TESTING: F-B	n/a	n/a	S 46
2506.7920000000	n/a	n/a	TESTING: Left Press, Correct	n/a	n/a	S  1
2507.8440000000	n/a	n/a	TESTING: B-D	n/a	n/a	S 65
2508.5280000000	n/a	n/a	TESTING: Left Press, Incorrect	n/a	n/a	S  3
